Subject,Accuracy
S001,0.737037037037037
S002,0.6752767527675276
S003,0.7164179104477612
S004,0.7620817843866171
S005,0.7286245353159851
S006,0.6851851851851852
S007,0.7
S008,0.7360594795539034
S009,0.6483516483516484
S010,0.7372262773722628
S011,0.724907063197026
S012,0.6481481481481481
S013,0.6923076923076923
S014,0.6951672862453532
S015,0.7434944237918215
S016,0.6678966789667896
S017,0.7169117647058824
S018,0.674074074074074
S019,0.7933579335793358
S020,0.6380597014925373
S021,0.6423357664233577
S022,0.753731343283582
S023,0.6851851851851852
S024,0.6691449814126395
S025,0.6925925925925925
S026,0.6568265682656826
S027,0.7666666666666667
S028,0.6727941176470589
S029,0.6814814814814815
S030,0.6654411764705882
S031,0.7026022304832714
S032,0.7164179104477612
S033,0.7415730337078652
S034,0.6902985074626866
S035,0.6728624535315985
S036,0.7777777777777778
S037,0.674074074074074
S038,0.6286764705882353
S039,0.7095588235294118
S040,0.6529850746268657
S041,0.6383763837638377
S042,0.6678966789667896
S043,0.6370370370370371
S044,0.7434944237918215
S045,0.75
S046,0.6691449814126395
S047,0.6556776556776557
S048,0.7121771217712177
S049,0.746268656716418
S050,0.6861313868613139
S051,0.662962962962963
S052,0.6703703703703704
S053,0.7174721189591078
S054,0.8066914498141264
S055,0.6642066420664207
S056,0.7047970479704797
S057,0.8608058608058609
S058,0.6703296703296703
S059,0.7111111111111111
S060,0.8407407407407408
S061,0.6703296703296703
S062,0.6937269372693727
S063,0.6728624535315985
S064,0.7121771217712177
S065,0.6568265682656826
S066,0.6666666666666666
S067,0.6753731343283582
S068,0.7444444444444445
S069,0.6948529411764706
S070,0.8333333333333334
S071,0.7037037037037037
S072,0.6579925650557621
S073,0.6666666666666666
S074,0.6801470588235294
S075,0.6741573033707865
S076,0.6568265682656826
S077,0.6928838951310862
S078,0.7
S079,0.5746268656716418
S080,0.6617647058823529
S081,0.6591760299625468
S082,0.6996336996336996
S083,0.6791044776119403
S084,0.6470588235294118
S085,0.6925925925925925
S086,0.7649253731343284
S087,0.7191011235955056
S088,0.6162790697674418
S089,0.6643109540636042
S090,0.7574626865671642
S091,0.7761194029850746
S092,0.6773255813953488
S093,0.7169117647058824
S094,0.7657992565055762
S095,0.6417910447761194
S096,0.6481481481481481
S097,0.6911764705882353
S098,0.6691449814126395
S099,0.6654275092936803
S100,0.7314814814814815
S101,0.6863468634686347
S102,0.6468401486988847
S103,0.6765799256505576
S104,0.7201492537313433
S105,0.6678966789667896
S106,0.70703125
S107,0.6888888888888889
S108,0.6977611940298507
S109,0.663003663003663
